Variable,Site
FLOW,A4261099
SAL,A4261045
TEMP,A4261045
TRACE_1,No Site
WQ_TRC_AGE,No Site
WQ_NCS_SS1,EPA2014_Coorong_Ewe_Island_Barrage
WQ_OXY_OXY,EPA2014_Coorong_Ewe_Island_Barrage
WQ_SIL_RSI,EPA2014_Coorong_Ewe_Island_Barrage
WQ_NIT_AMM,EPA2014_Coorong_Ewe_Island_Barrage
WQ_NIT_NIT,EPA2014_Coorong_Ewe_Island_Barrage
WQ_PHS_FRP,EPA2014_Coorong_Ewe_Island_Barrage
WQ_PHS_FRP_ADS,EPA2014_Coorong_Ewe_Island_Barrage
WQ_OGM_DOC,EPA2014_Lake_Alexandrina_Clayton_east_of_regulator
WQ_OGM_POC,EPA2014_Lake_Alexandrina_off_Rat_Island
WQ_OGM_DON,EPA2014_Coorong_Ewe_Island_Barrage
WQ_OGM_PON,EPA2014_Coorong_Ewe_Island_Barrage
WQ_OGM_DOP,EPA2014_Coorong_Ewe_Island_Barrage
WQ_OGM_POP,EPA2014_Coorong_Ewe_Island_Barrage
WQ_PHY_GRN,EPA_Ewe
